Open time	Open	High	Low	Close	Volume
2025-02-05 06:00:00	0.7464	0.7469	0.7213	0.7245	86681005.0
2025-02-05 07:00:00	0.7246	0.7413	0.7237	0.7398	44954320.0
2025-02-05 08:00:00	0.7398	0.749	0.736	0.7434	37331163.0
2025-02-05 09:00:00	0.7435	0.7495	0.7382	0.7421	30098927.0
2025-02-05 10:00:00	0.742	0.7541	0.7419	0.7444	23480117.0
2025-02-05 11:00:00	0.7444	0.7589	0.7382	0.7542	36298205.0
2025-02-05 12:00:00	0.7541	0.7588	0.7487	0.7527	19665774.0
2025-02-05 13:00:00	0.7526	0.755	0.7467	0.7488	13591697.0
2025-02-05 14:00:00	0.7488	0.7589	0.7406	0.7555	23404123.0
2025-02-05 15:00:00	0.7555	0.7556	0.7408	0.7454	33354409.0
2025-02-05 16:00:00	0.7454	0.7547	0.7416	0.7507	24506510.0
2025-02-05 17:00:00	0.7507	0.754	0.7454	0.7512	16383565.0
2025-02-05 18:00:00	0.7512	0.7587	0.7457	0.7487	26032767.0
2025-02-05 19:00:00	0.7486	0.757	0.7479	0.7534	17874249.0
2025-02-05 20:00:00	0.7534	0.7692	0.7532	0.7679	38602269.0
2025-02-05 21:00:00	0.7679	0.7729	0.7594	0.7617	32878814.0
2025-02-05 22:00:00	0.7617	0.7716	0.7595	0.7702	25745052.0
2025-02-05 23:00:00	0.7701	0.776	0.7612	0.7631	39005578.0
2025-02-06 00:00:00	0.7631	0.7726	0.7529	0.7625	45221766.0
2025-02-06 01:00:00	0.7624	0.7653	0.7413	0.7525	59190421.0
2025-02-06 02:00:00	0.7526	0.7562	0.7318	0.7361	47161796.0
2025-02-06 03:00:00	0.7361	0.7446	0.7277	0.7329	37773264.0
2025-02-06 04:00:00	0.7328	0.7493	0.7297	0.7482	29385761.0
2025-02-06 05:00:00	0.7482	0.7526	0.733	0.741	31150913.0
2025-02-06 06:00:00	0.7411	0.745	0.7344	0.7375	17377325.0
2025-02-06 07:00:00	0.7375	0.7422	0.7243	0.7292	24534822.0
2025-02-06 08:00:00	0.7291	0.7365	0.7279	0.7319	14395698.0
2025-02-06 09:00:00	0.7319	0.7419	0.7306	0.735	22481563.0
2025-02-06 10:00:00	0.7349	0.7485	0.7315	0.7425	21751934.0
2025-02-06 11:00:00	0.7424	0.7517	0.7412	0.7471	19249637.0
2025-02-06 12:00:00	0.7472	0.7525	0.7434	0.7491	14823871.0
2025-02-06 13:00:00	0.749	0.7569	0.7475	0.7558	16509322.0
2025-02-06 14:00:00	0.7559	0.7574	0.7508	0.7533	15881305.0
2025-02-06 15:00:00	0.7534	0.7656	0.7497	0.7648	23421555.0
2025-02-06 16:00:00	0.7647	0.7649	0.7572	0.7595	16290160.0
2025-02-06 17:00:00	0.7596	0.7614	0.753	0.754	23686659.0
2025-02-06 18:00:00	0.7541	0.7645	0.7513	0.7611	23750664.0
2025-02-06 19:00:00	0.761	0.7655	0.7552	0.7611	22709161.0
2025-02-06 20:00:00	0.761	0.7623	0.7475	0.7551	30222064.0
2025-02-06 21:00:00	0.7551	0.7566	0.7375	0.7407	37782448.0
2025-02-06 22:00:00	0.7407	0.7513	0.739	0.7477	35102892.0
2025-02-06 23:00:00	0.7477	0.7494	0.7271	0.7309	53571442.0
2025-02-07 00:00:00	0.7309	0.734	0.7029	0.7106	96515986.0
2025-02-07 01:00:00	0.7106	0.7178	0.7021	0.7065	59174036.0
2025-02-07 02:00:00	0.7066	0.7242	0.7023	0.7121	48241981.0
2025-02-07 03:00:00	0.7122	0.7163	0.7049	0.705	42822307.0
2025-02-07 04:00:00	0.705	0.7155	0.6972	0.7016	49452627.0
2025-02-07 05:00:00	0.7017	0.7208	0.7	0.7195	30207616.0
2025-02-07 06:00:00	0.7195	0.7211	0.7012	0.713	32110088.0
2025-02-07 07:00:00	0.7131	0.7133	0.7018	0.7118	16804655.0
2025-02-07 08:00:00	0.7118	0.713	0.6975	0.7047	17029217.0
2025-02-07 09:00:00	0.7046	0.7206	0.7036	0.7126	25773134.0
2025-02-07 10:00:00	0.7126	0.7326	0.7124	0.7261	25991986.0
2025-02-07 11:00:00	0.7261	0.7315	0.7233	0.7259	15698538.0
2025-02-07 12:00:00	0.7258	0.7296	0.7175	0.7225	13120744.0
2025-02-07 13:00:00	0.7225	0.7284	0.7204	0.7218	10306712.0
2025-02-07 14:00:00	0.7218	0.7237	0.7127	0.7173	17740527.0
2025-02-07 15:00:00	0.7173	0.7182	0.7027	0.7101	29668056.0
2025-02-07 16:00:00	0.7101	0.7218	0.7099	0.7136	21238568.0
2025-02-07 17:00:00	0.7135	0.7248	0.7102	0.7197	25463339.0
2025-02-07 18:00:00	0.7198	0.7299	0.7182	0.7294	21548649.0
2025-02-07 19:00:00	0.7294	0.7341	0.7266	0.7295	19196569.0
2025-02-07 20:00:00	0.7294	0.7375	0.7279	0.7327	23696849.0
2025-02-07 21:00:00	0.7327	0.7346	0.7261	0.7302	21830994.0
2025-02-07 22:00:00	0.7303	0.7462	0.72	0.7434	61044518.0
